message;severity;node;stamp;topics;location
"log:35";"4";"/basic_logger";"1607569276.285950357";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:19"
"log:35";"2";"/basic_logger";"1607569276.285900557";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:18"
"log:34";"16";"/basic_logger";"1607569275.286046351";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:21"
"log:34";"8";"/basic_logger";"1607569275.286012851";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:20"
"log:34";"4";"/basic_logger";"1607569275.286000151";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:19"
"log:34";"2";"/basic_logger";"1607569275.285927051";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:18"
"log:33";"16";"/basic_logger";"1607569274.286035944";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:21"
"log:33";"8";"/basic_logger";"1607569274.286028844";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:20"
"log:33";"4";"/basic_logger";"1607569274.286008544";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:19"
"log:33";"2";"/basic_logger";"1607569274.285955744";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:18"
"log:32";"16";"/basic_logger";"1607569273.286086538";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:21"
"log:32";"8";"/basic_logger";"1607569273.286061338";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:20"
"log:32";"4";"/basic_logger";"1607569273.286036338";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:19"
"log:32";"2";"/basic_logger";"1607569273.285989638";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:18"
"log:31";"16";"/basic_logger";"1607569272.286036432";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:21"
"log:31";"8";"/basic_logger";"1607569272.286024432";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:20"
"log:31";"4";"/basic_logger";"1607569272.285998632";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:19"
"log:31";"2";"/basic_logger";"1607569272.285951832";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:18"
"log:30";"16";"/basic_logger";"1607569271.286037526";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:21"
"log:30";"8";"/basic_logger";"1607569271.286025526";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:20"
"log:30";"4";"/basic_logger";"1607569271.286000126";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:19"
"log:30";"2";"/basic_logger";"1607569271.285950226";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:18"
"log:29";"16";"/basic_logger";"1607569270.286027719";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:21"
"log:29";"8";"/basic_logger";"1607569270.286002419";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:20"
"log:29";"4";"/basic_logger";"1607569270.285979519";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:19"
"log:29";"2";"/basic_logger";"1607569270.285947119";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:18"
"log:28";"16";"/basic_logger";"1607569269.285905113";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:21"
"log:28";"8";"/basic_logger";"1607569269.285898813";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:20"
"log:28";"4";"/basic_logger";"1607569269.285888613";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:19"
"log:28";"2";"/basic_logger";"1607569269.285827313";"/rosout";"/root/catkin_ws/src/ros_kouza2020/hello/src/hello.cpp:main:18"
